experiment,feature_set,model,test_f1,test_recall,test_precision,test_auc,threshold,confusion_matrix
E15,Group_B_Financial_Health,"SVM_C8.0_g0.1_cw{0: 1, 1: 3}",0.6131386861313869,0.7368421052631579,0.525,0.8496732026143792,0.42,
E15,Group_B_Financial_Health,"SVM_C0.5_g0.1_cw{0: 1, 1: 2}",0.6131386861313869,0.7368421052631579,0.525,0.8554351565187479,0.37,
E15,Group_B_Financial_Health,"SVM_C8.0_g0.1_cw{0: 1, 1: 2}",0.6119402985074627,0.7192982456140351,0.5324675324675324,0.8489422084623323,0.44,
E15,Group_B_Financial_Health,"SVM_C0.5_g0.01_cw{0: 1, 1: 3}",0.6099290780141844,0.7543859649122807,0.5119047619047619,0.8605951152390782,0.43,
E8,Group_F_Literature,HistGBM,0.6099,0.7544,0.5119,0.8553,0.25,"[[163, 41], [14, 43]]"
E15,Group_B_Financial_Health,SVM_C0.5_g0.03_cwbalanced,0.6074074074074074,0.7192982456140351,0.5256410256410257,0.8577571379428965,0.405,
E15,Group_B_Financial_Health,"SVM_C0.5_g0.03_cw{0: 1, 1: 1}",0.6074074074074074,0.7192982456140351,0.5256410256410257,0.8577571379428965,0.405,
E15,Group_B_Financial_Health,"SVM_C8.0_gscale_cw{0: 1, 1: 2}",0.603448275862069,0.6140350877192983,0.5932203389830508,0.8630890952872377,0.57,
E13,Group_C_Dynamic_Temporal,HistGBM_Opt,0.6032,0.6667,0.5507,0.8428,0.48,"[[173, 31], [19, 38]]"
E15,Group_B_Financial_Health,"SVM_C4.0_g0.1_cw{0: 1, 1: 1}",0.6027397260273972,0.7719298245614035,0.4943820224719101,0.837719298245614,0.305,
E15,Group_B_Financial_Health,SVM_C4.0_g0.1_cwbalanced,0.6027397260273972,0.7719298245614035,0.4943820224719101,0.837719298245614,0.305,
E15,Group_B_Financial_Health,SVM_C1.0_g0.01_cwbalanced,0.6013986013986014,0.7543859649122807,0.5,0.8551771585827312,0.415,
E15,Group_B_Financial_Health,"SVM_C1.0_g0.01_cw{0: 1, 1: 1}",0.6013986013986014,0.7543859649122807,0.5,0.8551771585827312,0.415,
E15,Group_B_Financial_Health,SVM_C4.0_g0.03_cwbalanced,0.6013071895424836,0.8070175438596491,0.4791666666666667,0.8445132438940489,0.3,
E15,Group_B_Financial_Health,"SVM_C2.0_gscale_cw{0: 1, 1: 1}",0.6013071895424836,0.8070175438596491,0.4791666666666667,0.8389232886136911,0.28,
E15,Group_B_Financial_Health,"SVM_C4.0_g0.03_cw{0: 1, 1: 1}",0.6013071895424836,0.8070175438596491,0.4791666666666667,0.8445132438940489,0.3,
E15,Group_B_Financial_Health,SVM_C2.0_gscale_cwbalanced,0.6013071895424836,0.8070175438596491,0.4791666666666667,0.8389232886136911,0.28,
E15,Group_B_Financial_Health,SVM_C0.5_g0.1_cwbalanced,0.5987261146496815,0.8245614035087719,0.47,0.8396972824217406,0.255,
E15,Group_B_Financial_Health,"SVM_C0.5_g0.1_cw{0: 1, 1: 1}",0.5987261146496815,0.8245614035087719,0.47,0.8396972824217406,0.255,
E15,Group_B_Financial_Health,"SVM_C4.0_g0.03_cw{0: 1, 1: 3}",0.5982905982905983,0.6140350877192983,0.5833333333333334,0.848813209494324,0.565,
E15,Group_B_Financial_Health,"SVM_C1.0_g0.1_cw{0: 1, 1: 1}",0.5982905982905983,0.6140350877192983,0.5833333333333334,0.835655314757482,0.485,
E15,Group_B_Financial_Health,SVM_C1.0_g0.1_cwbalanced,0.5982905982905983,0.6140350877192983,0.5833333333333334,0.835655314757482,0.485,
E10,Group_F_Literature,Stack_SVM_CB_HG,0.597,0.7018,0.5195,0.8547,0.43,"[[167, 37], [17, 40]]"
E12,,abs_F1max_tuned,0.5926,0.7018,0.5128,0.8421,,"[[166, 38], [17, 40]]"
E12,,recall>=0.70_tuned,0.5926,0.7018,0.5128,0.8421,,"[[166, 38], [17, 40]]"
E8,Group_A_Altman_Core,SVM_RBF,0.5926,0.8421,0.4571,0.831,0.4,"[[147, 57], [9, 48]]"
E15,Group_B_Financial_Health,SVM_C8.0_gscale_cwbalanced,0.5925925925925926,0.7017543859649122,0.5128205128205128,0.8360853113175095,0.455,
E15,Group_B_Financial_Health,"SVM_C8.0_gscale_cw{0: 1, 1: 1}",0.5925925925925926,0.7017543859649122,0.5128205128205128,0.8360853113175095,0.455,
