model,thr,c,f1,rec,prec,auc
"SVM_C4.0_g0.1_cw{0: 1, 1: 3}",0.41,0.5985,0.6165413533834586,0.7192982456140351,0.5394736842105263,0.8651530787753697
"SVM_C8.0_gscale_cw{0: 1, 1: 1}",0.455,0.6061,0.5925925925925926,0.7017543859649122,0.5128205128205128,0.8360853113175095
SVM_C8.0_gscale_cwbalanced,0.455,0.6061,0.5925925925925926,0.7017543859649122,0.5128205128205128,0.8360853113175095
"SVM_C8.0_gscale_cw{0: 1, 1: 2}",0.57,0.605,0.603448275862069,0.6140350877192983,0.5932203389830508,0.8630890952872377
"SVM_C8.0_gscale_cw{0: 1, 1: 3}",0.36,0.5921,0.6308724832214765,0.8245614035087719,0.5108695652173914,0.8606811145510836
"SVM_C8.0_g0.01_cw{0: 1, 1: 1}",0.4,0.6713,0.6277372262773723,0.7543859649122807,0.5375,0.8624871001031992
SVM_C8.0_g0.01_cwbalanced,0.4,0.6713,0.6277372262773723,0.7543859649122807,0.5375,0.8624871001031992
"SVM_C8.0_g0.01_cw{0: 1, 1: 2}",0.41,0.6667,0.6423357664233577,0.7719298245614035,0.55,0.8625730994152047
"SVM_C8.0_g0.01_cw{0: 1, 1: 3}",0.395,0.6267,0.6442953020134228,0.8421052631578947,0.5217391304347826,0.8568111455108358
"SVM_C8.0_g0.03_cw{0: 1, 1: 1}",0.43,0.6143,0.5777777777777777,0.6842105263157895,0.5,0.8272273821809426
SVM_C8.0_g0.03_cwbalanced,0.43,0.6143,0.5777777777777777,0.6842105263157895,0.5,0.8272273821809426
"SVM_C8.0_g0.03_cw{0: 1, 1: 2}",0.475,0.619,0.64,0.7017543859649122,0.5882352941176471,0.8487702098383213
"SVM_C8.0_g0.03_cw{0: 1, 1: 3}",0.57,0.624,0.6324786324786325,0.6491228070175439,0.6166666666666667,0.8472222222222222
"SVM_C8.0_g0.1_cw{0: 1, 1: 1}",0.35,0.5957,0.6206896551724138,0.7894736842105263,0.5113636363636364,0.82593739250086
SVM_C8.0_g0.1_cwbalanced,0.35,0.5957,0.6206896551724138,0.7894736842105263,0.5113636363636364,0.82593739250086
"SVM_C8.0_g0.1_cw{0: 1, 1: 2}",0.44,0.5954,0.6119402985074627,0.7192982456140351,0.5324675324675324,0.8489422084623323
"SVM_C8.0_g0.1_cw{0: 1, 1: 3}",0.42,0.5926,0.6131386861313869,0.7368421052631579,0.525,0.8496732026143792
SVM+CatBoost_vote,0.195,,0.6301369863013698,0.8070175438596491,0.5168539325842697,0.8615411076711386
